english,chinese,latin,french,spanish,atc
mesuximide,甲琥胺,mesuximidum,mésuximide,mesuximida,
methallenestril,美沙雌酸,methallenestrilum,méthallénestril,metalenestrilo,
methitural,美西妥拉,methituralum,méthitural,metitural,
methocidin,美索菌素,methocidinum,méthocidine,metocidina,
methopromazine,美索丙嗪,methopromazinum,méthopromazine,metopromazina,
methoxyphedrine,甲氧非君,methoxyphedrinum,méthoxyphédrine,metoxifedrina,
methyprylon,甲乙哌酮,methyprylonum,méthyprylone,metiprilón,
midamaline,咪达马林,midamalinum,midamaline,midamalina,
monobenzone,莫诺苯宗,monobenzonum,monobenzone,monobenzona,
morpheridine,吗哌利定,morpheridinum,morphéridine,morferidina,
norethandrolone,诺乙雄龙,notethandrolonum,noréthandrolone,noretandrolona,
norethisterone,炔诺酮,norethisteronum,noréthistérone,noretisterona,
novobiocin,新生霉素,novobiocinum,novobiocine,novobiocina,
nystatin,制霉菌素,nystatinum,nystatine,nistatina,
oleandomycin,竹桃霉素,oleandomycinum,oléandomycine,oleandomicina,
ostreogrycin,奥斯立星,ostreogrycinum,ostréogrycine,ostreogricina,
oxeladin,奥昔拉定,oxeladinum,oxéladine,oxeladina,
oxycinchophen,羟辛可芬,oxycinchophenum,oxycinchophène,oxicincofeno,
pentacynium chloride,喷他氯铵,pentacynii chloridum,chlorure de pentacynium,cloruro de pentacinio,
pentoxyverine,喷托维林,pentoxyverinum,pentoxyvérine,pentoxiverina,
petrichloral,培曲氯醛,petrichloralum,pétrichloral,petricloral,
phenaglycodol,非那二醇,phenaglycodolum,phénaglycodol,fenaglicodol,
phenamazoline,非那唑啉,phenamazolinum,phénamazoline,fenamazolina,
phenmetrazine,芬美曲秦,phenmetrazinum,phenmétrazine,fenmetrazina,
phenobutiodil,碘芬布酸,phenobutiodilum,phénobutiodil,fenobutiodil,
phenoxybenzamine,酚苄明,phenoxybenzaminum,phénoxybenzamine,fenoxibenzamina,
phenoxymethylpenicillin,青霉素V,phenoxymethylpenicillinum,phénoxyméthylpénicilline,fenoximetilpenicilina,
phensuximide,苯琥胺,phensuximidum,phensuximide,fensuximida,
phenythilone,苯西酮,phenythilonum,phénythilone,fenitilona,
phenyltoloxamine,苯托沙敏,phenyltoloxaminum,phényltoloxamine,feniltoloxamina,
phthalylsulfamethizole,酞磺胺美唑,phthalylsulfamethizolum,phtalylsulfaméthizol,ftalilsulfametizol,
pimetremide,匹美酰胺,pimetremidum,pimétrémide,pimetremida,
pipenzolate bromide,溴哌喷酯,pipenzolati bromidum,bromure de pipenzolate,bromuro de pipenzolato,
piperidolate,哌立度酯,piperidolatum,pipéridolate,piperidolato,
prodeconium bromide,丙癸溴铵,prodeconii bromidum,bromure de prodéconium,bromuro de prodeconio,
promazine,丙嗪,promazinum,promazine,promazina,
tetryzoline,四氢唑啉,tetryzolinum,tétryzoline,tetrizolina,
thenalidine,西那利定,thenalidinum,thénalidine,tenalidina,
thyrotrophin,促甲状腺素,thyrotrophinum,thyrotrophine,tirotrofina,
tolbutamide,甲苯磺丁脲,tolbutamidum,tolbutamide,tolbutamida,
tolpronine,托普罗宁,toolproninum,tolpronine,tolpronina,
tridihexethyl iodide,曲地碘铵,tridthexethyli iodidum,iodure de tridihexéthyl,ioduro de tridihexetilo,
trimeperidine,三甲利定,trimeperidinum,trimépéridine,trimeperidina,
triprolidine,曲普利啶,triprolidinum,triprolidine,triprolidina,
vancomycin,万古霉素,vancomycinum,vancomycine,vancomicina,
verazide,维拉烟肼,verazidum,vérazide,verazida,
zoxazolamine,氯苯唑胺,zoxazolaminum,ène,zoxazolamina,
dextropropoxyphene,右丙氧芬,dextropropoxyphenum,dextropropoxyphène,dextropropoxifeno,
dimenoxadol,地美沙多,dimenoxadolum,diménoxadol,dimenoxadol,
levopropoxyphene,左丙氧芬,devoprexyphenum,lévopropoxyphène,levopropoxifeno,
nicomorphine,尼可吗啡,nicomorphinum,nicomorphine,nicomorfina,
norcodeine,去甲可待因,norcodeinum,norcodéine,norcodeína,
normorphine,去甲吗啡,normorphinum,normorphine,normorfina,
noscapine,那可丁,noscapinum,noscapine,noscapina,
acetylmethadol,醋美沙多,acetylmethadolum,acétylméthadol,acetilmetadol,
alphacetylmethadol,阿醋美沙多,alphacetylmethadolum,alphacétylméthadol,alfacetilmetadol,
alphamethadol,阿法美沙多,alphamethadolum,alphaméthadol,alfametadol,
anileridine,阿尼利定,anileridinum,aniléridine,anileridina,
betamethadol,倍他美沙多,betamethadolum,bétaméthadol,betametadol,
betaprodine,倍他罗定,betaprodinum,bétaprodine,betaprodina,
desomorphine,地索吗啡,desomorphinum,désomorphine,desomorfina,
diethylthiambutene,二乙噻丁,diethylthiambutenum,diéthylthiambutène,dietiltiambuteno,
dimethylthiambutene,二甲噻丁,dimethylthiambutcnum,diméthylthiambutène,dimetiltiambuteno,
dipipanone,地匹哌酮,dipipanonum,dipipanone,dipipanona,
hydroxypethidine,羟哌替啶,hydroxypethidinum,hydroxypéthidine,hidroxipetidina,
levallorphan,左洛啡烷,levallor phanum,lévallorphane,levalorfano,
metethoheptazine,美索庚嗪,metethoheptazinum,météthoheptazine,metetoheptazina,
metheptazine,美庚嗪,metheptazinum,métheptazine,metoheptazina,
methyldesorphine,甲地索啡,mcthyldesorphinum,méthyldésorphine,metildesorfina,
methyldihydromorphine,甲二氢吗啡,methyldihydromorphinum,méthyldihydromorphine,metildihidromorfina,
myrophine,麦罗啡,myrophinum,myrophine,mirofina,
normethadone,去甲美沙酮,normelhadonum,norméthadone,normetadona,
phenomorphan,非诺啡烷,phenomorphanum,phénomorphane,fenomorfano,
proheptazine,普罗庚嗪,proheptazinum,proheptazine,proheptazina,
properidine,丙哌利定,properidinum,propéridine,properidina,
trethocanic acid,曲索卡酸,acidum trethocanicum,acide tréthocanique,ácido tretocánico,
alimemazine,阿利马嗪,alimemazinum,alimémazine,alimemazina,
amanozine,阿马诺嗪,amanozinum,amanozine,amanozina,
ambazone,安巴腙,ambazonum,ambazone,ambazona,
aminopromazine,氨丙嗪,aminopromazinum,aminopromazine,aminopromazina,
aminoxytriphene,胺氧曲芬,aminoxytriphenum,aminoxytriphène,aminoxitrifeno,
beclamide,贝克拉胺,beclamidum,béclamide,beclamida,
bialamicol,比拉米可,bialamicolum,bialamicol,bialamicol,
brompheniramine,溴苯那敏,brompheniraminum,bromphéniramine,bromfeniramina,
buphenine,布酚宁,bupheninum,buphénine,bufenina,
buthalital sodium,丁硫妥钠,buthalitalum natricum,buthalital sodique,butalital de sodio,
butopyrammonium iodide,布托碘铵,butopyrammonii iodidum,iodure de butopyrammonium,ioduro de butopiramonio,
chaulmosulfone,乔莫砜,chaulmosulfonum,chaulmosulfone,chaulmosulfona,
chlorazanil,氯拉扎尼,chlorazanilum,chlorazanil,clorazanilo,
chlorbenzoxamine,氯苄沙明,chlorbenzoxaminum,chlorbenzoxamine,clorbenzoxamina,
chlormezanone,氯美扎酮,chlormezanonum,chlormézanone,clormezanona,
chlorothiazide,氯噻嗪,chlorothiazidum,chlorothiazide,clorotiazida,
chlorphenesin,氯苯甘醚,chlorphenesinum,chlorphénésine,clorfenesina,
chlorproguanil,氯丙胍,chlorproguanilum,chlorproguanil,clorproguanil,
chlorzoxazone,氯唑沙宗,chlorzoxazonum,chlorzoxazone,clorzoxazona,
clemizole,克立咪唑,clemizolum,clémizole,clemizol,
clemizole penicillin,克咪西林,clemizolum penicillinum,clémizole pénicilline,clemizol penicilina,
cyclandelate,环扁桃酯,cyclandelatum,cyclandélate,ciclandelato,
cyclobenzaprine,环苯扎林,cyclobenzaprinum,cyclobenzaprine,ciclobenzaprina,
cyclopregnol,环孕醇,cyclopregnolum,cyclopregnol,ciclopregnol,
dequalinium chloride,地喹氯铵,dequalinii chloridum,chlorure de déqualinium,cloruro de decualinio,
dexamethasone,地塞米松,dexamethasonum,dexaméthasone,dexametasona,
diathymosulfone,地百里砜,diathymosulfonum,diathymosulfone,diatimosulfona,
dichlormezanone,二氯嗪酮,dichlormezanonum,dichlormézanone,diclormezanona,
diloxanide,二氯沙奈,diloxanidum,diloxanide,diloxanida,
dimethazan,二甲沙生,dimethazanum,diméthazan,dimetazán,
dimethisterone,地美炔酮,dimethisteronum,diméthistérone,dimetisterona,
diphoxazide,地福沙肼,diphoxazidum,diphoxazide,difoxazida,
dithiazanine iodide,碘二噻宁,dithiazanini iodidum,iodure de dithiazanine,ioduro de ditiazanina,
fluorometholone,氟米龙,fluorometholonum,fluorométholone,fluorometolona,
furmethoxadone,呋甲酮,furmethoxadonum,furméthoxadone,furmetoxadona,
glybuthiazol,格列噻唑,glybuthiazolum,glybuthiazol,glibutiazol,
glyprothiazol,格列丙唑,glyprothiazolum,glyprothiazol,gliprotiazol,
hedaquinium chloride,海达氯铵,hedaquinit chlondum,chlorure d'hédaquinium,cloruro de hedaquinio,
hexadimethrine bromide,海美溴铵,hexadimethrini bromidum,bromure d'hexadiméthrine,bromuro de hexadimetrina,
hydroxindasol,羟吲达醇,hydroxindasolum,hydroxindasol,hidroxindasol,
hydroxychloroquine,羟氯喹,hydroxychloroqumum,hydroxychloroquine,hidroxicloroquina,
imipramine,丙米嗪,imipraminum,imipramine,imipramina,
inproquone,英丙醌,inproquonum,inproquone,inprocuona,
isopropamide iodide,异丙碘铵,isopropamidi iodidum,iodure d'isopropamide,ioduro de isopropamida,
khelloside,凯林苷,isoxsuprinum,khelloside,kelósido,
lysergide,麦角二乙胺,lysergidum,lysergide,lisergida,
mannomustine,甘露莫司汀,mannomustinum,mannomustine,manomustina,
melphalan,美法仑,melphalanum,melphalan,melfalán,
methocarbamol,美索巴莫,methocarbamolum,méthocarbamol,metocarbamol,
methohexital,美索比妥,methohexitalum,méthohexital,metohexital,
methylprednisolone,甲泼尼龙,methylprednisolonum,méthylprednisolone,metilprednisolona,
monophosphothiamine,磷硫胺,monophosphothiaminum,monophosphothiamine,monofosfotiamina,
orphenadrine,奥芬那君,orphenadrinum,orphénadrine,orfenadrina,
oxadimedine,奥沙美定,oxadimedinum,oxadimédine,oxadimedina,
oxanamide,奥沙那胺,oxanamidum,oxanamide,oxanamida,
oxyphenbutazone,羟布宗,oxyphenbutazonum,oxyphenbutazone,oxifenbutazona,
oxyphenisatine,酚丁,oxyphenisatinum,oxyphénisatine,oxifenisatina,
paracetamol,对乙酰氨基酚,paracetamolum,paracétamol,paracetamol,
paridocaine,哌多卡因,paridocainum,paridocaïne,paridocaína,
pasiniazid,帕司烟肼,pasiniazidum,pasiniazide,pasiniazida,
phenactropinium chloride,芬托氯铵,phenactropinii chloridum,chlorure de phénactropinium,cloruro de fenactropinio,
pheniramine,非尼拉敏,pheniraminum,phéniramine,feniramina,
phenyracillin,苯拉西林,phenyracillinum,phényracilline,feniracilina,
piprinhydrinate,哌海茶碱,piprinhydrinatum,piprinhydrinate,piprinhidrinato,
polybenzarsol,聚苯胂酸,polybenzarsolum,polybenzarsol,polibenzarsol,
poskine,泊司肯,poskinum,poskine,posquina,
propiomazine,丙酰马嗪,propiomazinum,propiomazine,propiomazina,
pyrazinamide,吡嗪酰胺,pyrazinamidum,pyrazinamide,pirazinamida,
ristocetin,利托菌素,ristocetinum,ristocétine,ristocetina,
salinazid,水杨烟肼,salinazidum,salinazide,salinazid,
sulfaethidole,磺胺乙二唑,sulfaethidolum,sulfaéthidole,sulfaetidol,
sulfamethoxypyridazine,磺胺甲氧嗪,sulfamethoxypyridazinum,sulfaméthoxypyridazine,sulfametoxipiridazina,
sulfinpyrazone,磺吡酮,sulfinpyrazonum,sulfinpyrazone,sulfinpirazona,
sulocarbilate,磺卡酯,sulocarbilatum,sulocarbilate,sulocarbilato,
thalidomide,沙利度胺,thalidomidum,thalidomide,talidomida,
thiocolchicoside,硫秋水仙苷,thiocolchicosidum,thiocolchicoside,tiocolchicósido,
thiopropazate,醋酸奋乃静,thiopropazatum,thiopropazate,tiopropazato,
thioridazine,硫利达嗪,thioridazinum,thioridazine,tioridazina,
triacetin,三醋汀,triacetinum,triacétine,triacetina,
triamcinolone,曲安西龙,triamcinolonum,triamcinolone,triamcinolona,
tropigline,托品林,tropiglinum,tropigline,tropiglina,
xylometazoline,赛洛唑啉,xylometazolinum,ène,xilometazolina,
allylprodine,烯丙罗定,allylprodinum,allylprodine,alilprodina,
benzethidine,苄替啶,benzethidinum,benzéthidine,bencetidina,
furethidine,呋替啶,furethidinum,furéthidine,furetidina,
levophenacylmorphan,左芬啡烷,levophenacylmorphanum,lévophénacylmorphane,levofenacilmorfano,
metazocine,美他佐辛,metazocinum,métazocine,metazocina,
norlevorphanol,去甲左啡诺,norlevorphanolum,norlévorphanol,norlevorfanol,
phenazocine,非那佐辛,phenazocinum,phénazocine,fenazocina,
piminodine,匹米诺定,piminodinum,piminodine,piminodina,
thyropropic acid,甲状丙酸,acidum thyropropicum,acide thyropropique,ácido tiroprópico,
aminoglutethimide,氨鲁米特,aminoglutethimidum,aminoglutéthimide,aminoglutetimida,
amphenidone,安非尼酮,amphenidonum,amphénidone,amfenidona,
anisindione,茴茚二酮,anisindionum,anisindione,anisindiona,
benzthiazide,苄噻嗪,benzthiazidum,benzthiazide,benztiazida,
biperiden,比哌立登,biperidenum,bipéridène,biperideno,
bunamiodyl,丁碘桂酸,bunamiodylum,bunamiodyl,bunamiodilo,
butadiazamide,布他酰胺,butadiazamidum,butadiazamide,butadiazamida,
calcium carbimide,氰胺钙,calcii carbimidum,carbimide calcique,carbimida cálcica,
carisoprodol,卡立普多,carisoprodolum,carisoprodol,carisoprodol,
chlorphenoxamine,氯苯沙明,chlorphenoxaminum,chlorphénoxamine,clorfenoxamina,
chlorprothixene,氯普噻吨,chlorprothixenum,chlorprothixène,clorprotixeno,
chlorthenoxazine,氯西诺嗪,chlorthenoxazinum,chlorthénoxazine,clortenoxazina,
chymotrypsin,糜蛋白酶,chymotrypsinum,chymotrypsine,quimotripsina,
cinnamaverine,桂马维林,cinnamaverinum,cinnamavérine,cinamaverina,
colistin,多粘菌素E,colistinum,colistine,colistina,
cyclophosphamide,环磷酰胺,cyclophosphamidum,cyclophosphamide,ciclofosfamida,
cyproheptadine,赛庚啶,cyproheptadinum,cyproheptadine,ciproheptadina,
demecarium bromide,地美溴铵,demecarii bromidum,bromure de démécarium,bromuro de demecario,
dexbrompheniramine,右溴苯那敏,dexbrompheniraminum,dexbromphéniramine,dexbromfeniramina,
dexchlorpheniramine,右氯苯那敏,dexchlorpheniraminum,dexchlorphéniramine,dexclorfeniramina,
diampromide,地恩丙胺,diampromidum,diampromide,diampromida,
dichlorisone,二氯松,dichlorisonum,dichlorisone,diclorisona,
dieldrin,狄氏剂,dieldrinum,dieldrine,dieldrina,
dipiproverine,双哌维林,dipiproverinum,dipiprovérine,dipiproverina,
ditophal,地托酞,ditophalum,ditophal,ditofal,
emylcamate,依米氨酯,emylcamatum,émylcamate,emilcamato,
ethenzamide,乙水杨胺,ethenzamidum,éthenzamide,etenzamida,
ethionamide,乙硫异烟胺,ethionamidum,éthionamide,etionamida,
ferrocholinate,铁胆盐,ferrocholinatum,ferrocholinate,ferrocolinato,
flumethiazide,氟甲噻嗪,flumethiazidum,fluméthiazide,flumetiazida,
fluphenazine,氟奋乃静,fluphenazinum,fluphénazine,flufenazina,
glucagon,高血糖素,glucagonum,glucagon,glucagón,
griseofulvin,灰黄霉素,griseofulvinum,griséofulvine,griseofulvina,
halopenium chloride,卤培氯铵,halopenii chloridum,chlorure d'halopénium,cloruro de halopenio,
haloperidol,氟哌啶醇,haloperidolum,halopéridol,haloperidol,
hexapropymate,己丙氨酯,hexapropymatum,hexapropymate,hexapropimato,
hexcarbacholine bromide,溴己氨胆碱,hexcarbacholini bromidum,bromure d'hexcarbacholine,bromuro de hexacarbacolina,
homochlorcyclizine,高氯环秦,homochlorcyclizinum,homochlorcyclizine,homoclorciclizina,
hydrargaphen,汞加芬,hydrargaphenum,hydrargaphène,hidrargafeno,
hydrochlorothiazide,氢氯噻嗪,hydrochlorothiazidum,hydrochlorothiazide,hidroclorotiazida,
hydroflumethiazide,氢氟噻嗪,bydroflumethiazidum,hydrofluméthiazide,hidroflumetiazida,
hydroxindasate,羟吲达酯,hydroxindasatum,hydroxindasate,hidroxindasato,
hydroxystenozole,羟雄唑,hydroxystenoozolum,hydroxysténozole,hidroxistenozol,
kanamycin,卡那霉素,kanamycinum,kanamycine,kanamicina,
levisoprenaline,左异丙肾上腺素,levisoprenalinum,lévisoprénaline,levisoprenalina,
mebhydrolin,美海屈林,mebhydrolinum,mebhydroline,mebhidrolina,
mepenzolate bromide,溴美喷酯,mepenzolate bromidum,bromure de mépenzolate,bromuro de mepenzolato,
mephenoxalone,美芬诺酮,mephenoxalonum,méphénoxalone,mefenoxalona,
mestanolone,美雄诺龙,mestanolonum,mestanolone,mestanolona,
metahexamide,美他己脲,metahexamidum,métahexamide,metahexamida,
methaqualone,甲喹酮,methaqualonum,méthaqualone,metacualona,
methazolamide,醋甲唑胺,methazolamidum,méthazolamide,metazolamida,
methdilazine,甲地嗪,methdilazinum,methdilazine,metdilazina,
methotrexate,甲氨蝶呤,methotrexatum,méthotrexate,metotrexato,
methylchromone,甲色酮,methylchromonum,méthylchromone,metilcromona,
nialamide,尼亚拉胺,nialamidum,nialamide,nialamida,
nicothiazone,尼可硫腙,nicothiazonum,nicothiazone,nicotiazona,
nifurethazone,硝呋乙宗,nifurethazonum,nifuréthazone,nifuretazona,
nihydrazone,尼海屈腙,nihydrazonum,nihydrazone,nihidrazona,
norvinisterone,诺乙烯酮,norvinisteronum,norvinistérone,norvinisterona,
octatropine methylbromide,甲溴辛托品,octatropini methylbromidum,méthylbromure d'octatropine,metilbromuro de octatropina,
oxyphencyclimine,羟苄利明,oxyphencycliminum,oxyphencyclimine,oxifenciclimina,
palmidrol,帕米醇,palmidrolum,palmidrol,palmidrol,
penicillinase,青霉素酶,penicillinasum,pénicillinase,penicilinasa,
pentapiperide,戊哌立特,pentapiperidum,pentapipéride,pentapiperida,
phanquinone,泛喹酮,phanquinonum,phanquinone,fanquinona,
phenampromide,非那丙胺,phenampromidum,phénampromide,fenampromida,
phenelzine,苯乙肼,phenelzinum,phénelzine,fenelzina,
phenformin,苯乙双胍,phenforminum,phenformine,fenformina,
phenglutarimide,芬格鲁胺,phenglutarimidum,phenglutarimide,fenglutarimida,
phenprobamate,苯丙氨酯,phenprobamatum,phenprobamate,fenprobamato,
phetharbital,非沙比妥,phetharbitalum,phétharbital,fetarbital,
pipamazine,匹哌马嗪,pipamazinum,pipamazine,pipamazina,
pipethanate,哌沙酯,pipethanatum,pipéthanate,pipetanato,
polycarbophil,聚卡波非,polycarbophilum,polycarbophile,policarbofilo,
procaine,普鲁卡因,procainum,procaïne,procaína,
prothixene,丙噻吨,prothixenum,prothixène,protixeno,
protokylol,普罗托醇,protokylolum,protokylol,protoquilol,
proxyphylline,丙羟茶碱,proxyphyllinum,proxyphylline,proxifilina,
styramate,司替氨酯,styramatum,styramate,estiramato,
sulfachlorpyridazine,磺胺氯达嗪,sulfachlorpyridazinum,sulfachlorpyridazine,sulfaclorpiridazina,
sulfadimethoxine,磺胺地索辛,sulfadimethoxinum,sulfadiméthoxine,sulfadimetoxina,
sulfatolamide,磺胺托拉米,sulfatolamidum,sulfatolamide,sulfatolamida,
syrosingopine,昔罗舍平,syrosingopinum,syrosingopine,sirosingopina,
thiamphenicol,甲砜霉素,thiamphenicolum,thiamphénicol,tianfenicol,
thihexinol methylbromide,甲溴噻昔诺,thihexinoli methylbromidum,méthylbromure de thihexinol,metilbromuro de tihexinol,
thioproperazine,硫丙拉嗪,thioproperazinum,thiopropérazine,tioproperazina,
